#Table1
plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_gamma_flux,oiii_5007_cont,h_beta_cont,h_gamma_cont,oiii_5007_eqw,h_beta_eqw,h_gamma_eqw,e_bv_sfd,ratio_oiii_hb,ratio_oiii_hg
274,51913,230,1184.588,265.1616,107.7959,45.67388,44.60245,43.42176,-29.34016,-5.845001,-2.298898,0.05143556,4.467419,10.98917
274,51913,548,33.25813,7.642013,8.696679,39.54276,38.98463,37.99695,-0.8859906,0.008281317,0.01581809,0.05557523,4.352012,3.824233
278,51900,527,706.7639,1421.419,726.966,86.34241,93.71326,102.5696,-8.53159,-11.29103,-5.809944,0.03967275,0.4972242,0.9722104
305,51613,594,2893.415,1608.966,719.5103,51.48351,52.49846,61.19547,-59.11263,-31.4301,-11.75547,0.02966854,1.798307,4.021367
328,52282,19,44.30309,19.25129,10.38768,60.61726,62.17695,44.73115,-0.9194721,-0.2866963,-0.1003799,0.02514088,2.301305,4.264962
328,52282,42,36.6974,105.4555,42.66531,46.89655,47.05119,36.51835,-0.8159612,-2.053577,-0.9854462,0.02557969,0.3479894,0.8601226
367,51997,598,46.82426,44.56004,37.82521,62.865,65.37796,47.56648,-0.6170045,-0.5627213,-0.5966109,0.02805919,1.050813,1.237911
394,51913,251,12.39377,11.77326,10.35294,28.87793,30.18853,23.75529,-0.482996,-0.4772612,-0.7763163,0.03158969,1.052705,1.197125
394,51913,394,45.90616,161.7639,65.66705,23.00903,22.94828,22.57379,-1.985907,-6.903414,-2.622269,0.02412415,0.283785,0.6990746
394,51913,404,38.87955,41.07878,49.43292,72.33858,75.82922,56.39288,-0.3869893,-0.4400058,-0.7321672,0.02441461,0.9464631,0.7865114
394,51913,492,14.04334,5.03343,5.64903,36.52531,37.75314,30.10362,-0.4097231,0.08584013,-0.3136091,0.02519417,2.790014,2.485973
394,51913,493,2082.449,781.5953,343.7574,26.47316,26.96921,32.4879,-79.79385,-29.02886,-10.2479,0.02492994,2.664357,6.057903
394,51913,588,56.73095,29.97531,10.78106,33.71521,34.77301,26.13263,-1.742541,-0.8020573,-0.1790584,0.0284396,1.892589,5.262093
396,51816,276,364.8781,2682.965,1132.911,100.4879,117.0712,136.2125,-2.481773,-16.98236,-6.954131,0.0362667,0.1359981,0.3220712
412,52258,129,1637.148,2925.605,1454.904,140.4167,168.2365,177.9521,-12.30785,-12.63087,-6.59675,0.06504875,0.559593,1.125262
414,51869,328,1473.042,3112.576,1306.929,80.7803,108.7765,107.6599,-18.86394,-20.72246,-9.828963,0.1184658,0.4732547,1.127101
421,51821,307,737.1542,835.9516,856.78,130.6674,159.305,157.0681,-5.34174,-3.91738,-4.44549,0.04689745,0.8818145,0.8603775
443,51873,535,19.09018,20.75346,3.393805,51.91349,52.65327,40.13056,-0.3940043,-0.3459866,-0.0002477398,0.03682038,0.9198554,5.62501
450,51908,575,379.021,1109.689,585.86,31.79427,36.65718,40.26229,-12.14783,-22.56711,-11.65674,0.0229581,0.341556,0.6469482
454,51908,627,43.83395,33.56794,46.41902,63.89701,65.56895,48.11478,-0.8728964,-0.394253,-0.8239529,0.03877603,1.305828,0.9443101
464,51908,460,38.52143,32.94079,24.21057,57.43884,59.5624,44.04191,-0.5484881,-0.4531893,-0.6132738,0.1023146,1.169414,1.5911
476,52314,523,2367.825,3685.079,1811.943,86.99921,99.02554,107.6552,-29.31319,-28.08086,-13.53556,0.06889841,0.642544,1.306788
491,51942,218,12.00654,8.051298,11.44014,35.07987,36.41652,28.05894,-0.3794685,-0.02523067,-0.3099944,0.01079657,1.491255,1.04951
491,51942,476,91.83335,90.7306,45.32093,53.10586,54.91057,39.21366,-1.863698,-1.558549,-1.051925,0.01366771,1.012154,2.02629
492,51955,221,32.89353,37.27601,36.687,49.39061,51.30781,38.1222,-0.737298,-0.8172616,-0.8902185,0.01067304,0.8824317,0.8965991
511,52636,315,601.5096,1450.228,639.4663,54.53565,66.10081,78.27203,-8.57042,-15.90424,-6.688317,0.04759682,0.4147691,0.9406432
513,51989,110,358.4321,637.2264,396.4062,41.11211,57.68045,53.29045,-7.92115,-8.170201,-6.227839,0.02727352,0.5624879,0.9042041
519,52283,280,2442.218,2368.552,1205.612,124.3025,167.1469,155.4401,-20.32894,-10.43072,-6.267013,0.02099199,1.031102,2.025708
526,52312,537,1467.694,1217.897,622.2569,75.30801,91.46203,91.81695,-18.77042,-9.82467,-5.581181,0.02380977,1.205106,2.358663
529,52025,66,59.9053,69.04453,38.6208,95.61813,100.1792,74.47772,-0.5028847,-0.5103016,-0.4877534,0.02401691,0.8676329,1.551115
534,51997,531,132.6664,113.1752,68.18775,72.17678,75.62027,55.29159,-1.813082,-1.50205,-1.193302,0.03562194,1.172222,1.945605
541,51959,127,66.04488,33.1411,10.55941,42.71156,41.95548,31.04545,-1.644542,-0.6912763,-0.1482894,0.05106263,1.992839,6.254599
541,51959,255,25.66445,35.43678,38.51599,36.83569,37.53074,31.37565,-0.6127414,-1.076452,-1.547364,0.04343116,0.7242318,0.6663322
541,51959,498,35.85069,26.9732,14.2001,30.53193,31.14882,23.71455,-1.235756,-0.7470302,-0.5827622,0.04418126,1.329123,2.52468
541,51959,582,70.26254,201.9345,88.63498,38.57625,38.41304,34.8013,-2.010027,-5.143974,-2.438716,0.0533575,0.3479471,0.7927179
542,51993,278,17.32469,26.45877,8.977038,31.61224,31.97908,27.27316,-0.534647,-0.61786,0.02207571,0.05528823,0.6547806,1.929889
542,51993,574,34.77575,23.01826,12.29553,49.80613,51.7704,37.5506,-0.4766747,-0.4293922,-0.2923657,0.07197216,1.51079,2.828324
551,51993,492,913.5361,2229.068,1087.688,75.4613,93.22314,102.0346,-9.746435,-17.4852,-8.866838,0.02005281,0.4098286,0.8398883
552,51992,99,30.09599,16.41524,10.84435,51.72767,51.92562,39.1557,-0.6845737,-0.2077802,-0.1904815,0.01741878,1.833418,2.775268
552,51992,452,16.41445,21.93393,19.49812,45.96117,47.57687,35.91589,-0.3455865,-0.4409039,-0.6561462,0.02300085,0.7483589,0.8418479
552,51992,485,11.71143,6.561172,3.848984,43.70466,45.22098,36.56678,-0.2523748,0.1494715,-0.2006181,0.01932405,1.78496,3.042733
552,51992,529,140.6461,287.7761,115.1664,33.33569,32.93159,31.58004,-4.996173,-8.750099,-3.40798,0.01793825,0.4887344,1.221242
552,51992,600,73.70251,60.35788,28.17734,41.57143,41.79872,30.14086,-2.132811,-1.381064,-0.9208906,0.01572084,1.221092,2.615666
564,52224,322,1438.772,1887.681,871.7148,49.2734,64.30692,56.88464,-30.07759,-21.58853,-12.26865,0.03116452,0.7621899,1.650507
564,52224,532,44.26082,23.61263,8.943151,53.54488,53.2668,47.28487,-0.8256137,-0.09485313,0.325264,0.02695005,1.874455,4.949131
569,52264,247,47.88549,382.542,180.7662,52.27774,54.99393,66.72844,-1.209449,-7.531916,-2.893356,0.05851541,0.1251771,0.2649029
587,52026,231,46.20757,114.6828,44.56011,58.21167,57.88034,46.28933,-0.8230638,-1.747564,-0.6067126,0.03610772,0.4029163,1.036972
592,52025,240,19.22207,39.74822,21.62636,84.07539,88.45271,66.38995,-0.2018518,-0.3664747,-0.2036292,0.04467341,0.4835957,0.8888258
600,52317,460,156.12,201.8435,82.52145,71.62451,70.57462,59.63006,-2.43368,-2.626486,-1.188959,0.01983401,0.7734706,1.891872
608,52081,139,895.4025,1116.171,505.2422,68.95055,69.82793,81.83028,-13.83376,-16.4768,-6.250731,0.01099439,0.8022093,1.772224
650,52143,279,6401.678,2517.656,1239.828,81.28732,99.66298,90.49499,-82.94209,-19.92488,-11.18227,0.03201083,2.542713,5.163361
653,52145,122,194.0712,776.6227,332.9655,77.57009,77.33383,80.95663,-2.838624,-10.09762,-3.855715,0.03552727,0.2498912,0.5828568
655,52162,498,35.20956,36.97847,2.475616,71.76373,75.08691,54.02481,-0.3316639,-0.4625452,-0.1514748,0.03704821,0.952164,14.22255
721,52228,11,128.9781,239.0013,108.7262,57.41676,57.52228,50.44432,-2.539821,-4.064497,-2.123127,0.0542601,0.5396544,1.186265
721,52228,240,1016.226,362.4959,162.9153,55.72031,58.91819,42.64249,-18.65815,-6.119949,-4.29868,0.05134525,2.803414,6.237759
721,52228,350,41.1304,22.32348,13.87846,58.61272,61.26593,44.19803,-0.5217549,-0.2951777,-0.1653867,0.04847138,1.842473,2.963615
721,52228,503,61.13594,30.93255,16.63278,66.56448,70.11633,52.23179,-0.8675305,-0.3888011,-0.2501303,0.05492552,1.976428,3.67563
724,52254,508,84.98193,105.3115,33.08112,68.69216,67.83299,62.22911,-1.289924,-1.241848,-0.4157874,0.03612901,0.806958,2.568895
740,52263,549,1340.578,802.0439,492.5225,56.37148,60.86604,69.63428,-23.34377,-9.961286,-5.751487,0.05002049,1.671452,2.721861
883,52430,320,6584.295,2174.339,1347.224,133.0997,181.722,168.3855,-50.16125,-9.267194,-6.443219,0.015641,3.028183,4.887306
896,52592,34,3648.729,463.4578,178.3929,62.51613,60.63954,53.75529,-59.04803,-7.681633,-3.189413,0.03042259,7.87284,20.45333
900,52637,296,23.09386,12.28783,9.293491,106.479,108.9704,85.18527,-0.2145896,-0.03092102,-0.0776023,0.01903607,1.879409,2.48495
900,52637,420,43.77901,25.15762,7.358369,70.43685,70.53439,60.82535,-0.6255259,-0.1539996,-0.03050211,0.01870019,1.740189,5.949553
902,52409,134,2978.191,2322.049,977.8483,83.69479,89.79144,88.48792,-37.09431,-20.472,-9.02868,0.0146779,1.28257,3.045658
907,52373,578,22.97486,313.361,375.8219,89.09484,90.92722,97.75111,-0.4175796,-3.073849,-3.559032,0.01171457,0.07331757,0.06113232
919,52409,23,568.5654,1708.577,818.289,79.96482,90.7335,106.5394,-5.68435,-16.43929,-7.242818,0.04872772,0.3327714,0.6948222
952,52409,232,56.92393,35.91306,32.78834,75.88873,78.7496,56.86466,-0.5336509,-0.3591314,-0.4813553,0.01568531,1.585048,1.736103
969,52442,88,34.32958,33.4879,26.17934,79.2864,82.75555,59.99673,-0.4311934,-0.3034805,-0.3593327,0.02098229,1.025134,1.311323
973,52426,513,65.2057,125.6697,44.60666,76.62065,76.2346,74.14953,-0.8324223,-1.279033,-0.1484173,0.02647391,0.5188656,1.461793
974,52427,4,1040.573,1538.251,895.5942,112.0526,135.7177,141.489,-7.561283,-8.412434,-5.306871,0.02800488,0.6764649,1.16188
988,52520,247,164.9924,759.204,313.8575,118.0082,120.1768,118.767,-1.480569,-6.102698,-2.507724,0.04450716,0.2173229,0.5256922
995,52731,4,565.23,3359.375,1305.886,74.79877,95.98837,106.5134,-7.878808,-25.75145,-10.41472,0.01523244,0.1682545,0.4328325
1018,52672,549,34.26028,23.15671,30.57911,70.1571,71.95751,54.42421,-0.4646028,-0.2616293,-0.583207,0.01365122,1.479497,1.120382
1040,52722,613,7061.942,763.6073,270.9339,118.2371,126.9147,114.625,-60.03452,-5.713695,-2.363996,0.02643287,9.248133,26.06518
1058,52520,379,755.3818,2409.323,1124.563,83.94027,104.651,115.5631,-7.415027,-16.9973,-8.180568,0.02150116,0.3135245,0.6717112
1059,52618,215,1366.708,2892.682,1262.231,133.4417,165.6598,174.3513,-8.04793,-12.84545,-6.00423,0.04490913,0.4724707,1.082772
1059,52618,628,1773.729,1786.943,941.2366,99.93947,114.3158,119.7155,-18.55326,-12.15111,-6.407396,0.04036992,0.9926052,1.884467
1060,52636,293,734.7431,1886.237,896.2451,45.80148,53.55663,61.78875,-14.3226,-27.91396,-12.00434,0.04288088,0.3895285,0.8198016
1177,52824,319,37.43734,94.42793,83.8341,99.89532,103.4316,75.53613,-0.5402035,-0.7017177,-0.9498432,0.03350921,0.3964647,0.4465646
1237,52762,621,0.7705069,289.9603,245.5759,79.0246,82.79926,101.3654,-0.08545488,-2.628795,-1.994145,0.02854004,0.002657284,0.003137551
1301,52976,575,40.36861,35.54206,17.50053,57.35183,58.84455,42.97508,-0.719063,-0.5285346,0.002833754,0.05232254,1.135798,2.306709
1381,53089,447,458.6283,1508.802,708.8468,77.77651,87.77429,92.92825,-5.48113,-12.61329,-6.33282,0.01165435,0.3039684,0.6470062
1386,53116,639,113.1937,73.42248,42.62819,60.02666,61.82076,45.97939,-2.026331,-1.118173,-1.114745,0.02526535,1.541676,2.655372
1415,52885,144,11341.38,5517.438,2560.953,114.6044,146.9673,141.0033,-102.8908,-27.59008,-14.45629,0.05673105,2.055553,4.428579
1419,53144,552,2074.677,2022.419,980.5318,103.6563,124.853,129.2621,-24.08595,-11.93944,-6.550022,0.0167305,1.025839,2.115869
1426,52993,551,876.6531,2276.364,1263.183,92.23431,104.5761,101.1048,-9.687435,-15.99699,-10.11903,0.01755651,0.3851112,0.694003
1521,52945,462,31.65389,31.11092,30.22437,79.23488,81.93399,60.56142,-0.3238315,-0.3260559,-0.4139463,0.05156822,1.017453,1.047297
1575,53493,495,277.1395,1758.446,710.2274,61.23344,74.76739,88.84761,-3.645309,-17.37642,-6.612545,0.05115553,0.1576048,0.3902123
1594,52992,447,9.330087,14.89412,4.443737,61.89991,63.97293,48.13253,-0.1110245,-0.22605,-0.1835808,0.01055728,0.6264275,2.099604
1600,53090,363,236.8772,367.7924,361.988,58.33395,66.34003,66.91786,-2.173908,-4.141082,-4.438263,0.02776245,0.6440513,0.6543786
1713,53827,525,28.53689,53.13551,14.94958,103.7077,108.5524,78.81731,-0.5343207,-0.379366,-0.2317661,0.02275189,0.5370587,1.908875
1721,53857,100,61.68134,539.4926,424.5005,116.1588,118.4488,124.0873,-0.4542891,-3.183425,-2.930032,0.03747286,0.1143321,0.1453033
1725,54266,514,3823.379,811.241,353.4303,98.83085,97.8565,91.21084,-39.42852,-8.279602,-3.698748,0.03579252,4.713001,10.81792
1726,53137,566,330.3398,767.5447,494.2873,71.10374,89.49426,91.95263,-3.613181,-6.32075,-4.444671,0.03961959,0.4303851,0.6683153
1744,53055,630,1036.604,1351.735,1134.435,202.1726,226.6163,252.4484,-4.510466,-4.530081,-3.70849,0.03843554,0.7668698,0.9137629
1749,53357,352,39.61546,23.39247,15.1287,67.67723,68.23239,66.73434,-0.5580737,-0.2738656,-0.1918385,0.02964707,1.693514,2.618563
1788,54468,453,109.1347,212.5538,82.05566,78.89412,78.38941,69.56062,-1.451496,-2.385786,-0.5296862,0.09858768,0.5134452,1.330009
1801,54156,166,34.64136,7.166454,4.705597,74.93181,77.49744,56.30237,-0.5108906,-0.1605702,-0.04762566,0.03169611,4.833822,7.361735
1803,54152,577,17.72957,35.12908,11.79635,51.55377,53.96579,40.15557,-0.2887175,-0.566705,-0.266881,0.02437059,0.5046977,1.502971
1819,54540,140,2595.664,3329.567,1574.868,102.1184,140.834,132.2399,-26.08261,-17.07933,-9.529902,0.04324507,0.7795799,1.648178
1839,53471,552,540.5625,1314.57,566.5196,73.68666,74.87175,86.1464,-7.901835,-17.78455,-6.421943,0.01388486,0.4112087,0.9541815
1848,54180,390,316.5716,969.6373,509.3384,68.25449,89.86951,87.68639,-3.733603,-7.999559,-4.961278,0.04131947,0.3264846,0.6215349
1864,53313,562,49.15621,36.65266,9.635471,75.98553,78.05134,57.11551,-0.4519883,-0.3301932,-0.1941606,0.08578774,1.341136,5.101589
1871,53384,178,518.7308,553.1812,369.8924,50.42883,66.33474,63.53432,-10.26304,-6.179073,-4.878768,0.0433805,0.9377232,1.402383
1944,53385,513,60.72158,181.9588,77.93665,54.32361,55.4159,43.34002,-1.161519,-3.178615,-1.696181,0.02193329,0.3337107,0.7791145
1986,53475,490,307.2195,640.7239,638.0308,82.07511,108.0855,101.9123,-2.952414,-4.365608,-5.091088,0.0190759,0.4794881,0.481512
2016,53799,61,2392.272,1984.522,1265.194,172.2295,201.8552,204.7076,-11.67533,-7.393268,-5.250288,0.01161656,1.205465,1.890834
2018,53800,481,66.59321,66.58485,41.72022,66.50601,68.85117,50.19941,-1.22956,-1.171684,-1.018176,0.01554966,1.000125,1.596185
2089,53498,375,118.0488,52.85421,18.71793,41.89015,41.92306,38.65528,-2.968985,-0.9266967,-0.3034165,0.02135225,2.233479,6.306721
2102,54115,509,30.67048,36.84772,31.61624,73.60414,76.05474,55.18238,-0.430864,-0.4379579,-0.5503155,0.01184179,0.8323577,0.9700864
2119,53792,479,2112.922,2766.563,1265.713,88.4348,124.5345,113.9633,-24.81136,-15.89823,-8.839527,0.0166308,0.7637355,1.669353
2128,53800,436,44.80594,75.40821,46.94862,94.9023,99.19441,73.7862,-0.3141151,-0.6175584,-0.4850005,0.02022265,0.5941785,0.9543612
2142,54208,637,3867.807,6220.282,2802.708,215.257,240.2715,272.6122,-21.08663,-21.8575,-8.845398,0.02924547,0.6218057,1.380025
2147,53491,162,5038.458,2117.616,916.8344,87.02618,117.4693,98.20416,-60.14673,-13.20133,-7.497892,0.02633778,2.379307,5.495494
2147,53491,605,415.7328,686.9014,364.7195,43.13829,57.84717,58.41138,-9.309697,-8.880097,-5.170429,0.02831765,0.6052293,1.13987
2162,54207,140,1615.985,4474.285,1869.44,136.9617,159.9627,172.4593,-9.428789,-20.94106,-8.850812,0.06868968,0.3611717,0.864422
2202,53566,590,41.10273,86.44918,37.38781,81.10155,84.27381,61.28258,-0.4920362,-0.8075885,-0.5495617,0.04733186,0.4754554,1.099362
2218,53816,458,65.52161,61.31808,44.06738,85.26286,88.53375,65.94817,-0.90818,-0.5953308,-0.5930035,0.01829139,1.068553,1.486851
2221,53792,223,39.30362,0.0632058,4.467299,126.0513,127.9709,121.1116,-0.1819081,0.2573214,0.2435579,0.02201982,621.8357,8.798073
2226,53819,436,80.50111,77.76763,68.4782,83.367,86.51279,63.64454,-1.001941,-0.6958082,-0.8889102,0.02324224,1.035149,1.175573
2229,53823,484,307.9158,759.5152,464.8255,41.40286,54.11063,53.67868,-6.167908,-10.45688,-7.261472,0.02117208,0.4054109,0.662433
2230,53799,638,5.153099,428.5754,457.4906,125.5387,130.0334,142.2596,-0.2446779,-3.135224,-3.039842,0.02035709,0.01202379,0.01126384
2246,53767,66,1020.123,2033.969,1131.383,84.1128,112.3523,108.6789,-14.31766,-13.28217,-8.780498,0.01130901,0.5015432,0.9016601
2343,53735,352,60.32346,78.65923,30.21829,68.35918,70.74233,51.76899,-0.6829518,-0.8172466,-0.5600677,0.0320962,0.7668962,1.996256
2355,53792,105,1897.624,1186.639,639.1501,69.83562,94.6749,79.48378,-28.38844,-9.49496,-6.485289,0.03021897,1.599159,2.96898
2364,53737,458,486.0229,2499.298,1084.91,42.72638,50.11494,56.04595,-9.703642,-37.89765,-15.68913,0.03082279,0.1944637,0.4479845
2434,53826,469,538.3006,974.1982,437.1964,41.54343,41.6957,49.28408,-14.09682,-24.46326,-9.370384,0.04877826,0.5525576,1.231256
2481,54086,319,24.75229,6.356665,43.33659,61.28584,62.83393,46.73641,-0.3893389,-0.1523006,-0.9184699,0.03155204,3.893912,0.5711639
2481,54086,476,48.72352,29.90881,20.52857,58.99151,60.95352,45.5203,-0.986647,-0.5118875,-0.5206603,0.03324049,1.629069,2.373449
2492,54178,329,4.955448,2.228737,2.700698,86.67305,88.36371,72.21214,-0.09996839,0.0471046,0.05166814,0.01585537,2.223433,1.834877
2504,54179,639,7877.747,2802.729,1377.287,77.86939,94.97187,101.5361,-106.8469,-25.17962,-11.45144,0.02759106,2.810742,5.719755
2516,54241,100,334.1487,546.4423,240.2339,59.5387,59.07911,63.66529,-5.799829,-8.913399,-3.599343,0.04624571,0.6114987,1.390931
2520,54584,249,1368.654,5197.323,2322.489,135.5448,162.26,202.3916,-8.00507,-24.13497,-9.425919,0.04823577,0.2633382,0.5893047
2570,54081,138,2728.964,622.6433,230.5088,97.20418,105.959,83.46711,-29.06362,-5.818825,-2.920396,0.03446414,4.382868,11.83887
2583,54095,384,6372.962,2008.347,915.9037,50.71324,51.27554,62.31402,-129.924,-39.81391,-14.44922,0.03551297,3.173238,6.958114
2603,54479,75,66.66528,408.4529,157.2181,66.64745,66.47044,62.12274,-0.9900674,-5.99234,-1.960151,0.02586498,0.1632141,0.4240307
2603,54479,259,13407.49,4510.373,2181.303,115.1048,135.1567,134.635,-116.6997,-27.85945,-13.60655,0.02857031,2.972589,6.14655
2603,54479,443,3119.791,1080.492,599.1832,67.87113,85.67862,76.46803,-44.8326,-11.57401,-7.748132,0.02328548,2.887379,5.206739
2636,54082,355,26.48382,9.800497,0.9256109,31.64447,32.71556,24.70524,-0.8449139,-0.2051831,0.0932041,0.03529269,2.702293,28.61226
2636,54082,381,18.19991,13.22289,1.543408,26.9032,27.28488,20.67993,-0.6110944,-0.43203,0.1852807,0.03906142,1.376395,11.79203
2636,54082,596,12.38525,13.68435,6.766839,33.82156,35.37762,26.00032,-0.3228464,-0.3610589,-0.1523067,0.03424846,0.9050666,1.830286
2656,54484,292,71.42719,76.85601,57.85275,92.20982,97.12588,72.34695,-0.5637609,-0.5936761,-0.7813002,0.02598047,0.9293637,1.234638
2669,54086,451,5258.064,9483.637,4790.24,303.6021,326.5607,424.9352,-12.94457,-21.56355,-9.204815,0.4328821,0.5544354,1.097662
2749,54241,404,5.620809,10.83558,3.20245,70.65392,72.49334,54.11325,0.02323344,-0.08907314,-0.09125423,0.02209737,0.5187364,1.755159
2754,54240,378,462.5725,635.0149,286.8855,61.82977,62.31922,63.13188,-7.700913,-10.29655,-4.663815,0.0391116,0.7284435,1.612394
2755,54507,376,544.0389,767.4379,462.054,59.65148,72.53349,67.09078,-8.590643,-7.840153,-5.602401,0.02384765,0.7089028,1.177436
2756,54508,198,1467.791,673.7114,283.5809,71.22552,71.00752,69.91444,-22.68395,-9.974215,-4.010148,0.02879844,2.178664,5.175916
2758,54523,409,32.3863,16.57453,7.379066,54.09511,55.112,40.52937,-0.6315758,-0.2399538,-0.1641333,0.03197221,1.953979,4.388943
